x(V),y(V)
0.011720,0.144933
0.024454,0.143660
0.037315,0.142895
0.050304,0.136846
0.062529,0.132515
0.075517,0.129713
0.087869,0.126338
0.100476,0.123473
0.113847,0.125956
0.126326,0.125128
0.138933,0.122581
0.152176,0.126975
0.164273,0.130669
0.176625,0.138056
0.189487,0.146016
0.202603,0.163655
0.215082,0.172507
0.227943,0.189637
0.240805,0.207277
0.253284,0.229883
0.266018,0.246759
0.278879,0.267136
0.291486,0.293054
0.304093,0.312477
0.317209,0.340242
0.328669,0.366032
0.342550,0.384563
0.355284,0.399528
0.367126,0.413029
0.380497,0.429713
0.392976,0.437355
0.404946,0.445124
0.417553,0.446652
0.430796,0.448308
0.443658,0.446206
0.456519,0.439456
0.468489,0.428949
0.481732,0.416977
0.493448,0.399337
0.506691,0.381698
0.519807,0.369280
0.531777,0.343617
0.545275,0.317826
0.558136,0.293245
0.569979,0.276434
0.582586,0.249815
0.595702,0.227909
0.608436,0.209378
0.621170,0.191866
0.633904,0.174736
0.646510,0.158115
0.658990,0.150155
0.671469,0.136655
0.684458,0.124619
0.696937,0.122709
0.709671,0.123982
0.722787,0.128440
0.735521,0.139648
0.747873,0.150028
0.760607,0.166585
0.773850,0.179894
0.786712,0.196005
0.798172,0.213071
0.811543,0.240773
0.824022,0.262106
0.836884,0.291526
0.849363,0.316553
0.862479,0.345273
0.875213,0.364886
0.887947,0.388830
0.900044,0.408507
0.913033,0.424109
0.926022,0.435381
0.938501,0.447798
0.951235,0.453148
0.963969,0.456650
0.976449,0.456077
0.988928,0.449390
1.001662,0.438119
1.013759,0.429395
1.027130,0.415576
1.039482,0.399146
1.052216,0.380615
1.065077,0.357881
1.077939,0.337695
1.091055,0.309675
1.103279,0.285031
1.116141,0.261341
1.128493,0.238989
1.141354,0.213899
1.153706,0.199953
1.166440,0.181868
1.179683,0.168941
1.191908,0.156587
1.204642,0.145252
1.217758,0.134044
1.230110,0.131942
1.242971,0.131879
1.255705,0.134490
1.267930,0.142704
1.281301,0.153212
1.293907,0.173080
1.305495,0.186135
1.318357,0.200081
1.331473,0.217784
1.344079,0.240008
1.357068,0.264398
1.369675,0.291208
1.381899,0.311904
1.394761,0.334829
1.408004,0.358709
1.419592,0.380870
1.432453,0.402076
1.446333,0.419269
1.458303,0.434298
1.470783,0.450282
1.483262,0.454549
1.496505,0.457032
1.508730,0.453593
1.521974,0.449199
1.534453,0.436208
1.547442,0.425637
1.559666,0.406088
1.572273,0.387811
1.585389,0.371445
1.597741,0.341515
1.610602,0.314515
1.623082,0.281847
1.635306,0.248669
1.647913,0.225171
1.660774,0.197151
1.673763,0.181167
1.686752,0.164356
1.698976,0.148499
1.711456,0.137483
1.724572,0.125256
1.737178,0.122008
